année;emissions
1960;296.1406
1961;315.7072
1962;332.9114
1963;338.0362
1964;368.8817
1965;363.4975
1966;380.3898
1967;404.6666
1968;418.2543
1969;443.4014
1970;460.4492
1971;493.4216
1972;513.9873
1973;538.6852
1974;520.686
1975;482.2014
1976;523.4842
1977;506.9977
1978;528.8028
1979;532.1651
1980;511.1121
1981;459.3719
1982;440.4362
1983;423.3137
1984;412.0018
1985;405.222
1986;390.3931
1987;387.7726
1988;385.5711
1989;399.6784
1990;393.4229
1991;418.3671
1992;406.6483
1993;388.0801
1994;381.9089
1995;386.2619
1996;401.3731
1997;393.9452
1998;413.6344
1999;412.1831
2000;406.8289
2001;411.6139
2002;407.7905
2003;412.5346
2004;413.7799
2005;416.1658
2006;406.4624
2007;396.6605
2008;390.7776
2009;371.0452
2010;376.6454
2011;354.6025
2012;356.9126
2013;358.6233
2014;327.1073
2015;331.58
2016;334.4398
2017;337.4575
2018;322.5268
2019;316.3868
2020;280.0315
2021;305.9637
