year,commune,nbre_pdc,total_bornes
2015,boulleret,2.0,2.0
2015,chezal-benoît,2.0,2.0
2015,méreau,2.0,2.0
2015,neuvy-sur-barangeon,2.0,2.0
2015,aix-en-provence,1.0,1.0
2015,amiens,1.0,1.0
2015,angoulins,1.0,1.0
2015,avignon,1.0,1.0
2015,besançon,1.0,1.0
2015,brest,1.0,1.0
2015,brive-la-gaillarde,1.0,1.0
2015,bruges,1.0,1.0
2015,cesson-sévigné,1.0,1.0
2015,chambourcy,1.0,1.0
2015,chambray-lès-tours,1.0,1.0
2015,chauray,1.0,1.0
2015,clermont-ferrand,1.0,1.0
2015,coignières,1.0,1.0
2015,dijon,1.0,1.0
2015,dunkerque,1.0,1.0
2015,fleurieu-sur-saône,1.0,1.0
2015,fleury-les-aubrais,1.0,1.0
2015,fontenay-sur-eure,1.0,1.0
2015,gex,1.0,1.0
2015,illzach,1.0,1.0
2015,la garde,1.0,1.0
2015,la teste-de-buch,1.0,1.0
2015,lattes,1.0,1.0
2015,laxou,1.0,1.0
2015,le ban-saint-martin,1.0,1.0
2015,le cannet,1.0,1.0
2015,le havre,1.0,1.0
2015,les essarts-le-roi,1.0,1.0
2015,les pavillons-sous-bois,1.0,1.0
2015,lescar,1.0,1.0
2015,lezennes,1.0,1.0
2015,limoges,1.0,1.0
2015,marseille 16,1.0,1.0
2015,migné-auxances,1.0,1.0
2015,montrouge,1.0,1.0
2015,nice,1.0,1.0
2015,nîmes,1.0,1.0
2015,paris 12,1.0,1.0
2015,perpignan,1.0,1.0
2015,ramonville-saint-agne,1.0,1.0
2015,rouen,1.0,1.0
2015,saint-doulchard,1.0,1.0
2015,saint-herblain,1.0,1.0
2015,saint-julien-les-villas,1.0,1.0
2015,saint-lô,1.0,1.0
2015,saint-martin-d'hères,1.0,1.0
2015,saint-quentin,1.0,1.0
2015,saint-étienne,1.0,1.0
2015,seynod,1.0,1.0
2015,souffelweyersheim,1.0,1.0
2015,tarbes,1.0,1.0
2015,trappes,1.0,1.0
2015,valence,1.0,1.0
2015,vert-saint-denis,1.0,1.0
2015,villeneuve-d'ascq,1.0,1.0
2016,allan,2.0,2.0
2016,allogny,2.0,2.0
2016,allonne,1.0,1.0
2016,angers,1.0,1.0
2016,arnac-la-poste,2.0,2.0
2016,athée-sur-cher,1.0,1.0
2016,aubière,1.0,1.0
2016,avignonet-lauragais,2.0,2.0
2016,avord,4.0,4.0
2016,ballan-miré,1.0,1.0
2016,bannegon,2.0,2.0
2016,baugy,2.0,2.0
2016,belfort,1.0,1.0
2016,belhade,2.0,2.0
2016,belrupt-en-verdunois,1.0,1.0
2016,bezouce,2.0,2.0
2016,bias,1.0,1.0
2016,bindernheim,1.0,1.0
2016,blou,2.0,2.0
2016,boulogne-sur-mer,1.0,1.0
2016,bourges,2.0,2.0
2016,bournoncle-saint-pierre,1.0,1.0
2016,brive-la-gaillarde,1.0,1.0
2016,brives-charensac,1.0,1.0
2016,brûlain,1.0,1.0
2016,buchelay,1.0,1.0
2016,burbach,2.0,2.0
2016,calais,1.0,1.0
2016,caluire-et-cuire,2.0,2.0
2016,camps-la-source,1.0,1.0
2016,caniac-du-causse,1.0,1.0
2016,castres,1.0,1.0
2016,chalancey,2.0,2.0
2016,champagnat,1.0,1.0
2016,charbonnières-les-varennes,1.0,1.0
2016,chasseneuil-du-poitou,1.0,1.0
2016,chauray,1.0,1.0
2016,chârost,2.0,2.0
2016,châteauneuf-val-saint-donat,1.0,1.0
2016,châtellerault,1.0,1.0
2016,clermont-ferrand,1.0,1.0
2016,coltainville,2.0,2.0
2016,combs-la-ville,1.0,1.0
2016,corbeil,1.0,1.0
2016,courbevoie,1.0,1.0
2016,dainville,1.0,1.0
2016,denney,1.0,1.0
2016,domérat,1.0,1.0
2016,dun-sur-auron,2.0,2.0
2016,eecke,1.0,1.0
2016,englos,1.0,1.0
2016,epagny metz-tessy,1.0,1.0
2016,escaudœuvres,1.0,1.0
2016,eyrein,1.0,1.0
2016,fabrègues,2.0,2.0
2016,faches-thumesnil,1.0,1.0
2016,fajolles,2.0,2.0
2016,farges-en-septaine,2.0,2.0
2016,fayet,1.0,1.0
2016,ferques,2.0,2.0
2016,flacy,2.0,2.0
2016,fontcouverte,2.0,2.0
2016,fréjus,1.0,1.0
2016,fussy,2.0,2.0
2016,gannes,1.0,1.0
2016,gemmelaincourt,2.0,2.0
2016,gours,1.0,1.0
2016,grande-synthe,1.0,1.0
2016,granges-les-beaumont,2.0,2.0
2016,graçay,2.0,2.0
2016,irancy,2.0,2.0
2016,la celle-saint-cyr,1.0,1.0
2016,la chapelle-thémer,1.0,1.0
2016,la chapelle-d'aligné,2.0,2.0
2016,la couronne,1.0,1.0
2016,la perche,2.0,2.0
2016,la vacquerie-et-saint-martin-de-castries,1.0,1.0
2016,labastide-saint-sernin,2.0,2.0
2016,lançon-provence,2.0,2.0
2016,laval,1.0,1.0
2016,lavernoy,2.0,2.0
2016,le havre,1.0,1.0
2016,le mans,1.0,1.0
2016,le poinçonnet,1.0,1.0
2016,leers,1.0,1.0
2016,limoges,1.0,1.0
2016,lisses,1.0,1.0
2016,longuenesse,1.0,1.0
2016,lussat,1.0,1.0
2016,léré,2.0,2.0
2016,mailly-champagne,1.0,1.0
2016,marcellois,1.0,1.0
2016,marest-sur-matz,2.0,2.0
2016,marignac,2.0,2.0
2016,marmagne,1.0,1.0
2016,menetou-salon,2.0,2.0
2016,merceuil,2.0,2.0
2016,mey,1.0,1.0
2016,misy-sur-yonne,2.0,2.0
2016,moirax,2.0,2.0
2016,monestier-merlines,1.0,1.0
2016,mons-en-barœul,1.0,1.0
2016,montauban,1.0,1.0
2016,montblanc,2.0,2.0
2016,montivilliers,1.0,1.0
2016,montiéramey,2.0,2.0
2016,montrelais,1.0,1.0
2016,muids,1.0,1.0
2016,nancy,1.0,1.0
2016,nançay,2.0,2.0
2016,neuilly-sur-marne,1.0,1.0
2016,nogent-sur-oise,1.0,1.0
2016,nonville,2.0,2.0
2016,noreuil,1.0,1.0
2016,olivet,1.0,1.0
2016,orgeux,2.0,2.0
2016,orvault,1.0,1.0
2016,orçay,1.0,1.0
2016,ougney-douvot,2.0,2.0
2016,paris 19,2.0,2.0
2016,petite-forêt,1.0,1.0
2016,pfastatt,1.0,1.0
2016,pierre-la-treiche,1.0,1.0
2016,plaisir,1.0,1.0
2016,plougoumelen,1.0,1.0
2016,poilly-lez-gien,1.0,1.0
2016,précieux,2.0,2.0
2016,puget-sur-argens,1.0,1.0
2016,raymond,2.0,2.0
2016,reuil-en-brie,2.0,2.0
2016,richebourg,2.0,2.0
2016,rimeize,1.0,1.0
2016,rosny-sur-seine,2.0,2.0
2016,saint-alban-de-roche,1.0,1.0
2016,saint-cyr-sur-loire,1.0,1.0
2016,saint-denis-sur-loire,1.0,1.0
2016,saint-georges-lès-baillargeaux,1.0,1.0
2016,saint-gervais-la-forêt,1.0,1.0
2016,saint-grégoire,1.0,1.0
2016,saint-hilaire-cottes,2.0,2.0
2016,saint-jean-de-la-ruelle,1.0,1.0
2016,saint-jean-la-vêtre,2.0,2.0
2016,saint-maur,1.0,1.0
2016,saint-ouen-de-thouberville,1.0,1.0
2016,saint-priest,1.0,1.0
2016,saint-saturnin,1.0,1.0
2016,saint-sébastien-sur-loire,1.0,1.0
2016,sainte-magnance,1.0,1.0
2016,sainte-sabine,1.0,1.0
2016,sancé,1.0,1.0
2016,seclin,2.0,2.0
2016,senozan,2.0,2.0
2016,sepmes,1.0,1.0
2016,simandres,2.0,2.0
2016,soisy-sous-montmorency,1.0,1.0
2016,sévérac d'aveyron,1.0,1.0
2016,taller,2.0,2.0
2016,taponas,2.0,2.0
2016,thorigné-en-charnie,1.0,1.0
2016,tichey,2.0,2.0
2016,tollevast,1.0,1.0
2016,tours,1.0,1.0
2016,toury,2.0,2.0
2016,trignac,1.0,1.0
2016,valence,1.0,1.0
2016,valenciennes,1.0,1.0
2016,vallenay,4.0,4.0
2016,vannecrocq,1.0,1.0
2016,vierzon,8.0,8.0
2016,villars,1.0,1.0
2016,villeherviers,1.0,1.0
2016,viry-noureuil,1.0,1.0
2016,vémars,2.0,2.0
2016,éclaires,2.0,2.0
2017,aix-les-bains,4.0,4.0
2017,albaret-sainte-marie,8.0,8.0
2017,appoigny,8.0,8.0
2017,archamps,8.0,8.0
2017,argent-sur-sauldre,2.0,2.0
2017,arles,28.0,28.0
2017,aubigny-sur-nère,2.0,2.0
2017,barberaz,4.0,4.0
2017,bayonne,8.0,8.0
2017,beaune,12.0,12.0
2017,bellegarde-sur-valserine,4.0,4.0
2017,belley,4.0,4.0
2017,bernin,8.0,8.0
2017,billy-le-grand,6.0,6.0
2017,blet,2.0,2.0
2017,bollène,4.0,4.0
2017,bourg-lès-valence,4.0,4.0
2017,bourges,42.0,44.0
2017,bretteville-sur-odon,8.0,8.0
2017,brécy,2.0,2.0
2017,castelnau-d'estrétefonds,8.0,8.0
2017,caudan,8.0,8.0
2017,chambéry,4.0,4.0
2017,chasse-sur-rhône,8.0,8.0
2017,chasseneuil-du-poitou,8.0,9.0
2017,clermont-ferrand,8.0,9.0
2017,coings,8.0,8.0
2017,collégien,8.0,8.0
2017,coquelles,10.0,10.0
2017,cours-les-barres,2.0,2.0
2017,cuffy,2.0,2.0
2017,givors,8.0,8.0
2017,hauconcourt,8.0,8.0
2017,henrichemont,2.0,2.0
2017,houdemont,8.0,8.0
2017,illkirch-graffenstaden,8.0,8.0
2017,jouet-sur-l'aubois,2.0,2.0
2017,la chapelle-saint-ursin,2.0,2.0
2017,la chapelle-d'angillon,2.0,2.0
2017,la chapelle-sur-erdre,8.0,8.0
2017,la guerche-sur-l'aubois,2.0,2.0
2017,la seyne-sur-mer,8.0,8.0
2017,langon,4.0,4.0
2017,langueux,8.0,8.0
2017,laveyron,4.0,4.0
2017,le caylar,8.0,8.0
2017,le tholonet,12.0,12.0
2017,les aix-d'angillon,2.0,2.0
2017,les petites-loges,6.0,6.0
2017,lesquin,8.0,8.0
2017,lyon 02,9.0,9.0
2017,marmagne,2.0,3.0
2017,marseilles-lès-aubigny,2.0,2.0
2017,massay,2.0,2.0
2017,matougues,4.0,4.0
2017,montélimar,4.0,4.0
2017,mougins,4.0,4.0
2017,mérignac,8.0,8.0
2017,narbonne,8.0,8.0
2017,neydens,4.0,4.0
2017,nîmes,8.0,8.0
2017,orange,8.0,8.0
2017,orges,12.0,12.0
2017,orgeval,4.0,4.0
2017,pau,8.0,8.0
2017,piolenc,4.0,4.0
2017,plaimpied-givaudins,2.0,2.0
2017,pont-saint-esprit,4.0,4.0
2017,porcieu-amblagnieu,4.0,4.0
2017,port-saint-louis-du-rhône,4.0,4.0
2017,pouzin,4.0,4.0
2017,rennes,8.0,8.0
2017,rians,2.0,2.0
2017,rillieux-la-pape,8.0,8.0
2017,rochecorbon,8.0,8.0
2017,rouvignies,10.0,10.0
2017,rungis,6.0,6.0
2017,sailly-flibeaucourt,10.0,10.0
2017,saint-florent-sur-cher,4.0,4.0
2017,saint-germain-du-puy,2.0,2.0
2017,saint-hilaire-de-gondilly,4.0,4.0
2017,saint-just,2.0,2.0
2017,saint-martin-d'auxigny,2.0,2.0
2017,saint-pierre-de-bœuf,4.0,4.0
2017,saint-priest,12.0,13.0
2017,saint-romain-en-gal,8.0,8.0
2017,saint-satur,2.0,2.0
2017,saint-saturnin,8.0,9.0
2017,saint-vulbas,4.0,4.0
2017,saint-étienne-du-rouvray,8.0,8.0
2017,saintes,8.0,8.0
2017,sancergues,2.0,2.0
2017,sancoins,2.0,2.0
2017,sancé,10.0,11.0
2017,saran,8.0,8.0
2017,sausheim,8.0,8.0
2017,senlis,8.0,8.0
2017,seyssel,4.0,4.0
2017,soyons,4.0,4.0
2017,tarascon,4.0,4.0
2017,tournon-sur-rhône,4.0,4.0
2017,trouy,2.0,2.0
2017,ussac,8.0,8.0
2017,val-de-meuse,16.0,16.0
2017,valence,8.0,9.0
2017,veaugues,2.0,2.0
2017,vierzon,2.0,10.0
2017,villeneuve-lès-avignon,4.0,4.0
2017,écully,4.0,4.0
2018,apremont-sur-allier,2.0,2.0
2018,aubigny-sur-nère,2.0,4.0
2018,blancafort,2.0,2.0
2018,brinon-sur-sauldre,2.0,2.0
2018,châteaumeillant,2.0,2.0
2018,châteauneuf-sur-cher,2.0,2.0
2018,culan,2.0,2.0
2018,ennordres,4.0,4.0
2018,foëcy,2.0,2.0
2018,henrichemont,2.0,4.0
2018,la celle-condé,2.0,2.0
2018,la guerche-sur-l'aubois,2.0,4.0
2018,le châtelet,2.0,2.0
2018,levet,2.0,2.0
2018,maisonnais,2.0,2.0
2018,ménétréol-sur-sauldre,2.0,2.0
2018,nérondes,2.0,2.0
2018,ourouer-les-bourdelins,2.0,2.0
2018,préveranges,2.0,2.0
2018,reigny,2.0,2.0
2018,saint-doulchard,4.0,4.0
2018,sancerre,2.0,2.0
2018,vailly-sur-sauldre,2.0,2.0
2018,vesdun,2.0,2.0
2018,épineuil-le-fleuriel,2.0,2.0
2019,bourges,2.0,46.0
2020,lyon 07,3.0,3.0
2020,vierzon,2.0,12.0
2021,avignon,62.0,62.0
2021,bruay-la-buissière,4.0,4.0
2021,cavalaire-sur-mer,4.0,4.0
2021,chaumont-sur-tharonne,3.0,3.0
2021,châtillon,7.0,7.0
2021,clamart,29.0,29.0
2021,cogolin,4.0,4.0
2021,drancy,4.0,4.0
2021,dreux,3.0,3.0
2021,garches,12.0,12.0
2021,gassin,4.0,4.0
2021,grimaud,16.0,16.0
2021,hayange,3.0,3.0
2021,issy-les-moulineaux,12.0,12.0
2021,joinville-le-pont,18.0,18.0
2021,jonquerettes,2.0,2.0
2021,la croix-valmer,2.0,2.0
2021,le plan-de-la-tour,2.0,2.0
2021,les angles,6.0,6.0
2021,les petites-loges,6.0,12.0
2021,lourmarin,2.0,2.0
2021,lyon 07,6.0,9.0
2021,morières-lès-avignon,2.0,2.0
2021,mouxy,3.0,3.0
2021,orcenais,1.0,1.0
2021,orval,2.0,2.0
2021,puget-sur-argens,4.0,5.0
2021,ramatuelle,6.0,6.0
2021,rennes,2.0,10.0
2021,romans-sur-isère,3.0,3.0
2021,saint-amand-montrond,2.0,2.0
2021,saint-priest,6.0,19.0
2021,saint-tropez,6.0,6.0
2021,saint-zacharie,2.0,2.0
2021,saint-étienne,2.0,2.0
2021,sainte-maxime,8.0,8.0
2021,sauveterre,2.0,2.0
2021,sivergues,1.0,1.0
2021,strasbourg,3.0,3.0
2021,velleron,4.0,4.0
2021,verrie,3.0,3.0
2021,versailles,14.0,14.0
2021,vélizy-villacoublay,28.0,28.0
2022,cubzac-les-ponts,6.0,6.0
2022,entraigues-sur-la-sorgue,2.0,2.0
2022,fontenay-aux-roses,16.0,16.0
2022,grimaud,4.0,20.0
2022,la môle,2.0,2.0
2022,le bouscat,4.0,4.0
2022,morières-lès-avignon,2.0,4.0
2022,myans,8.0,8.0
2022,orcenais,1.0,2.0
2022,ramatuelle,3.0,9.0
2022,rayol-canadel-sur-mer,2.0,2.0
2022,saint-amand-montrond,2.0,4.0
2022,saint-jeoire-prieuré,8.0,8.0
2022,saint-tropez,4.0,10.0
2022,thénioux,2.0,2.0
2022,ventabren,3.0,3.0
2022,versailles,2.0,16.0
2022,abbeville-saint-lucien,1.0,1.0
2022,abrest,1.0,1.0
2022,agen-d'aveyron,1.0,1.0
2022,agnicourt-et-séchelles,1.0,1.0
2022,aire-sur-l'adour,1.0,1.0
2022,aix-en-provence,1.0,2.0
2022,ajaccio,1.0,1.0
2022,albertville,1.0,1.0
2022,altkirch,1.0,1.0
2022,ambérieu-en-bugey,1.0,1.0
2022,amifontaine,1.0,1.0
2022,ancenis,1.0,1.0
2022,andrezel,1.0,1.0
2022,angoulême,1.0,1.0
2022,annemasse,1.0,1.0
2022,antibes,1.0,1.0
2022,argentan,1.0,1.0
2022,ars-sur-formans,1.0,1.0
2022,asnières-lès-dijon,1.0,1.0
2022,athies-sous-laon,1.0,1.0
2022,athis-mons,1.0,1.0
2022,aubagne,1.0,1.0
2022,aulnoy-lez-valenciennes,1.0,1.0
2022,aurillac,1.0,1.0
2022,auxerre,1.0,1.0
2022,availles-en-châtellerault,1.0,1.0
2022,avermes,1.0,1.0
2022,avesnes-sur-helpe,1.0,1.0
2022,avignon-lès-saint-claude,1.0,1.0
2022,avion,1.0,1.0
2022,avranches,1.0,1.0
2022,bar-le-duc,1.0,1.0
2022,barles,1.0,1.0
2022,barras,1.0,1.0
2022,bayeux,1.0,1.0
2022,beauchamps-sur-huillard,1.0,1.0
2022,beaune-d'allier,1.0,1.0
2022,behren-lès-forbach,1.0,1.0
2022,bellegarde-sur-valserine,1.0,1.0
2022,bellerive-sur-allier,1.0,1.0
2022,berck,1.0,1.0
2022,bergerac,1.0,1.0
2022,besançon,1.0,2.0
2022,biarritz,1.0,1.0
2022,blénod-lès-pont-à-mousson,1.0,1.0
2022,boissy-saint-léger,1.0,1.0
2022,boulogne-billancourt,1.0,1.0
2022,bourg-en-bresse,1.0,1.0
2022,bourges,1.0,1.0
2022,bourgoin-jallieu,1.0,1.0
2022,bracieux,1.0,1.0
2022,brie-comte-robert,1.0,1.0
2022,brignoles,1.0,1.0
2022,brive-la-gaillarde,1.0,2.0
2022,brives-charensac,1.0,1.0
2022,brouennes,1.0,1.0
2022,bruay-la-buissière,1.0,1.0
2022,brumetz,1.0,1.0
2022,buhl-lorraine,1.0,1.0
2022,bénesse-lès-dax,1.0,1.0
2022,béning-lès-saint-avold,1.0,1.0
2022,béziers,1.0,1.0
2022,cagnes-sur-mer,1.0,1.0
2022,cahors,1.0,1.0
2022,cambrai,1.0,1.0
2022,cannes,1.0,1.0
2022,carcassonne,1.0,1.0
2022,carhaix-plouguer,1.0,1.0
2022,carpentras,1.0,1.0
2022,carvin,1.0,1.0
2022,castelnaudary,1.0,1.0
2022,castelsarrasin,1.0,1.0
2022,castres,1.0,1.0
2022,caudan,1.0,1.0
2022,cavaillon,1.0,1.0
2022,cernay-lès-reims,1.0,1.0
2022,cessy,1.0,1.0
2022,chalencon,1.0,1.0
2022,challans,1.0,1.0
2022,chambray-lès-tours,1.0,2.0
2022,champdolent,1.0,1.0
2022,charleville-mézières,1.0,1.0
2022,chartres,1.0,1.0
2022,chauny,1.0,1.0
2022,chausseterre,1.0,1.0
2022,chavannes-sur-reyssouze,1.0,1.0
2022,chavignon,1.0,1.0
2022,chavonne,1.0,1.0
2022,chennevières-sur-marne,1.0,1.0
2022,chinon,1.0,1.0
2022,cholet,1.0,1.0
2022,châlons-en-champagne,1.0,1.0
2022,château-gontier,1.0,1.0
2022,château-thierry,1.0,1.0
2022,château-verdun,1.0,1.0
2022,châteaubriant,1.0,1.0
2022,châteaudun,1.0,1.0
2022,châteaulin,1.0,1.0
2022,châteauredon,1.0,1.0
2022,châtenay-malabry,1.0,1.0
2022,clermont-ferrand,1.0,2.0
2022,clermont-les-fermes,1.0,1.0
2022,cognac,1.0,1.0
2022,cognat-lyonne,1.0,1.0
2022,cognin-les-gorges,1.0,1.0
2022,colmars,1.0,1.0
2022,colombe-lès-vesoul,1.0,1.0
2022,compiègne,1.0,1.0
2022,concarneau,1.0,1.0
2022,concevreux,1.0,1.0
2022,coquelles,1.0,1.0
2022,corbeil-essonnes,1.0,1.0
2022,cosne-cours-sur-loire,1.0,1.0
2022,coulommiers-la-tour,1.0,1.0
2022,courbevoie,1.0,1.0
2022,courcelles-lès-montbéliard,1.0,1.0
2022,courtemont-varennes,1.0,1.0
2022,coutances,1.0,1.0
2022,creney-près-troyes,1.0,1.0
2022,cressin-rochefort,1.0,1.0
2022,crépy-en-valois,1.0,1.0
2022,créteil,1.0,1.0
2022,dangers,1.0,1.0
2022,davézieux,1.0,1.0
2022,deauville,1.0,1.0
2022,dieppe-sous-douaumont,1.0,1.0
2022,dinan,1.0,1.0
2022,douains,1.0,1.0
2022,draguignan,1.0,1.0
2022,dreux,1.0,1.0
2022,dunkerque,1.0,2.0
2022,ernolsheim-lès-saverne,1.0,1.0
2022,faches-thumesnil,1.0,1.0
2022,feignies,1.0,1.0
2022,figeac,1.0,1.0
2022,flers-en-escrebieux,1.0,1.0
2022,fleury-les-aubrais,1.0,2.0
2022,florange,1.0,1.0
2022,foix,1.0,1.0
2022,fontenay-le-comte,1.0,1.0
2022,fontenay-sous-bois,1.0,1.0
2022,fouquières-lès-béthune,1.0,1.0
2022,fresnes-en-tardenois,1.0,1.0
2022,froidmont-cohartille,1.0,1.0
2022,fréjus,1.0,1.0
2022,fécamp,1.0,1.0
2022,gaillac-d'aveyron,1.0,1.0
2022,gap,1.0,1.0
2022,gardanne,1.0,1.0
2022,garges-lès-gonesse,1.0,1.0
2022,gauchy,1.0,1.0
2022,gien,1.0,1.0
2022,givors,1.0,1.0
2022,granville,1.0,1.0
2022,grenoble,1.0,1.0
2022,griesheim-près-molsheim,1.0,1.0
2022,guise,1.0,1.0
2022,guéret,1.0,1.0
2022,haguenau,1.0,1.0
2022,hirson,1.0,1.0
2022,hénin-beaumont,1.0,1.0
2022,hérouville-saint-clair,1.0,1.0
2022,iguerande,1.0,1.0
2022,illkirch-graffenstaden,1.0,1.0
2022,illzach,1.0,2.0
2022,istres,1.0,1.0
2022,jarny,1.0,1.0
2022,joigny-sur-meuse,1.0,1.0
2022,la ferté-bernard,1.0,1.0
2022,la roche-sur-yon,1.0,1.0
2022,la rochelle,1.0,1.0
2022,la seyne-sur-mer,1.0,1.0
2022,la teste-de-buch,1.0,2.0
2022,la tour-du-pin,1.0,1.0
2022,la valette-du-var,1.0,1.0
2022,lamballe,1.0,1.0
2022,langon,1.0,1.0
2022,lannemezan,1.0,1.0
2022,lannion,1.0,1.0
2022,laxou,1.0,2.0
2022,le bouscat,1.0,1.0
2022,le fresne-camilly,1.0,1.0
2022,le havre,1.0,2.0
2022,le perreux-sur-marne,1.0,1.0
