CODGEO;LIBGEO;MED14
1001;L'Abergement-Clémenciat;21577
1002;L'Abergement-de-Varey;21673
1004;Ambérieu-en-Bugey;19756
1005;Ambérieux-en-Dombes;23205
1006;Ambléon;22158
1007;Ambronay;21679
1008;Ambutrix;23839
1009;Andert-et-Condon;21824
1010;Anglefort;21962
1011;Apremont;21886
1012;Aranc;20886
1013;Arandas;20654
1014;Arbent;19806
1015;Arbignieu;22107
1016;Arbigny;20138
1017;Argis;18959
1019;Armix;
1021;Ars-sur-Formans;22680
1022;Artemare;18887
1023;Asnières-sur-Saône;
1024;Attignat;21143
1025;Bâgé-la-Ville;21781
1026;Bâgé-le-Châtel;20701
1027;Balan;22310
1028;Baneins;21598
1029;Beaupont;18909
1030;Beauregard;19958
1031;Bellignat;18911
1032;Béligneux;20612
1033;Bellegarde-sur-Valserine;19347
1034;Belley;18563
1035;Belleydoux;21989
1036;Belmont-Luthézieu;20632
1037;Bénonces;19961
1038;Bény;21310
1039;Béon;19799
1040;Béréziat;20358
1041;Bettant;21696
1042;Bey;23672
1043;Beynost;25513
1044;Billiat;26490
1045;Birieux;23163
1046;Biziat;20915
1047;Blyes;24717
1049;La Boisse;24753
1050;Boissey;19316
1051;Bolozon;
1052;Bouligneux;24641
1053;Bourg-en-Bresse;18180
1054;Bourg-Saint-Christophe;25206
1056;Boyeux-Saint-Jérôme;20164
1057;Boz;19961
1058;Brégnier-Cordon;20269
1059;Brénaz;19556
1060;Brénod;22238
1061;Brens;22449
1062;Bressolles;25767
1063;Brion;23506
1064;Briord;19997
1065;Buellas;23229
1066;La Burbanche;
1067;Ceignes;21235
1068;Cerdon;19423
1069;Certines;22415
1071;Cessy;35677
1072;Ceyzériat;22586
1073;Ceyzérieu;21657
1074;Chalamont;20830
1075;Chaleins;22392
1076;Chaley;18857
1077;Challes-la-Montagne;21252
1078;Challex;37771
1079;Champagne-en-Valromey;19785
1080;Champdor;21276
1081;Champfromier;22567
1082;Chanay;23484
1083;Chaneins;22540
1084;Chanoz-Châtenay;20009
1085;La Chapelle-du-Châtelard;22007
1087;Charix;23497
1088;Charnoz-sur-Ain;25069
1089;Château-Gaillard;21443
1090;Châtenay;20929
1091;Châtillon-en-Michaille;24910
1092;Châtillon-la-Palud;22269
1093;Châtillon-sur-Chalaronne;20395
1094;Chavannes-sur-Reyssouze;20269
1095;Chavannes-sur-Suran;20395
1096;Chaveyriat;20754
1097;Chavornay;21030
1098;Chazey-Bons;19979
1099;Chazey-sur-Ain;23282
1100;Cheignieu-la-Balme;19435
1101;Chevillard;23480
1102;Chevroux;21594
1103;Chevry;37867
1104;Chézery-Forens;22801
1105;Civrieux;25553
1106;Cize;19591
1107;Cleyzieu;22195
1108;Coligny;20662
1109;Collonges;30175
1110;Colomieu;20721
1111;Conand;20373
1112;Condamine;20971
1113;Condeissiat;19532
1114;Confort;23610
1115;Confrançon;20876
1116;Contrevoz;20277
1117;Conzieu;19129
1118;Corbonod;23131
1119;Corcelles;20483
1121;Corlier;19114
1122;Cormaranche-en-Bugey;22573
1123;Cormoranche-sur-Saône;21834
1124;Cormoz;20530
1125;Corveissiat;21029
1127;Courmangoux;21561
1128;Courtes;20065
1129;Crans;22039
1130;Cras-sur-Reyssouze;21713
1133;Cressin-Rochefort;21368
1134;Crottet;21859
1135;Crozet;34939
1136;Cruzilles-lès-Mépillat;21914
1138;Culoz;19017
1139;Curciat-Dongalon;18783
1140;Curtafond;22100
1141;Cuzieu;23069
1142;Dagneux;22250
1143;Divonne-les-Bains;40542
1144;Dommartin;20677
1145;Dompierre-sur-Veyle;20366
1146;Dompierre-sur-Chalaronne;21967
1147;Domsure;19001
1148;Dortan;21458
1149;Douvres;24521
1150;Drom;21814
1151;Druillat;21717
1152;Échallon;24019
1153;Échenevex;41570
1154;Étrez;20325
1155;Évosges;18644
1156;Faramans;23309
1157;Fareins;24260
1158;Farges;30798
1159;Feillens;21004
1160;Ferney-Voltaire;25135
1162;Flaxieu;
1163;Foissiat;20499
1165;Francheleins;22231
1166;Frans;24142
1167;Garnerans;22123
1169;Genouilleux;22704
1170;Béard-Géovreissiat;21035
1171;Géovreisset;21183
1172;Germagnat;19346
1173;Gex;30333
1174;Giron;22700
1175;Gorrevod;19995
1176;Le Grand-Abergement;18884
1177;Grand-Corent;21520
1179;Grièges;21428
1180;Grilly;35982
1181;Groissiat;22623
1182;Groslée;20804
1183;Guéreins;22717
1184;Hautecourt-Romanèche;20989
1185;Hauteville-Lompnes;20333
1186;Hostiaz;
1187;Hotonnes;20255
1188;Illiat;22273
1189;Injoux-Génissiat;24601
1190;Innimond;
1191;Izenave;18984
1192;Izernore;20561
1193;Izieu;21412
1194;Jassans-Riottier;21133
1195;Jasseron;22667
1196;Jayat;21040
1197;Journans;24993
1198;Joyeux;20147
1199;Jujurieux;20279
1200;Labalme;18800
1202;Lagnieu;20672
1203;Laiz;21541
1204;Lalleyriat;19976
1205;Lancrans;22993
1206;Lantenay;23004
1207;Lapeyrouse;23796
1208;Lavours;19443
1209;Léaz;27522
1210;Lélex;21157
1211;Lent;21816
1212;Lescheroux;19552
1213;Leyment;21604
1214;Leyssard;21963
1215;Lhôpital;
1216;Lhuis;20384
1218;Lochieu;
1219;Lompnas;17046
1221;Lompnieu;23231
1224;Loyettes;20774
1225;Lurcy;23600
1227;Magnieu;21226
1228;Maillat;22103
1229;Malafretaz;21104
1230;Mantenay-Montlin;18931
1231;Manziat;21216
1232;Marboz;20668
1233;Marchamp;21230
1234;Marignieu;21091
