nom_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,date_mise_en_service,date_maj
Les Aix d Angillon,Route de Bourges - 18220 LE AIX D ANGILLON,18003,"[47.1950266,2.5656172]",1,02/07/2017,1/27/2022
Les Aix d Angillon,Route de Bourges - 18220 LE AIX D ANGILLON,18003,"[47.1950266,2.5656172]",1,02/07/2017,1/27/2022
Allogny,Rue de l Abreuvoir - 18110 ALLOGNY,18004,"[47.2257841,2.3184789]",1,5/27/2016,1/27/2022
Allogny,Rue de l Abreuvoir - 18110 ALLOGNY,18004,"[47.2257841,2.3184789]",1,5/27/2016,1/27/2022
Apremont sur Allier,Parking route de Germigny - 18150 APREMONT SUR ALLIER,18007,"[46.9075846,3.0463252]",1,9/17/2018,1/27/2022
Apremont sur Allier,Parking route de Germigny - 18150 APREMONT SUR ALLIER,18007,"[46.9075846,3.0463252]",1,9/17/2018,1/27/2022
Argent sur Sauldre,Place du marche - 18410 ARGENT SUR SAULDRE,18011,"[47.5592618,2.4470023]",1,3/17/2017,1/27/2022
Argent sur Sauldre,Place du marche - 18410 ARGENT SUR SAULDRE,18011,"[47.5592618,2.4470023]",1,3/17/2017,1/27/2022
Aubigny - Palais omnisports,Le Mail Guichard - 18700 AUBIGNY-SUR-NERE,18015,"[47.4912269,2.4378559]",1,3/16/2018,1/27/2022
Aubigny - Palais omnisports,Le Mail Guichard - 18700 AUBIGNY-SUR-NERE,18015,"[47.4912269,2.4378559]",1,3/16/2018,1/27/2022
Aubigny - Place de la resistance,Place de la resistance - 18700 AUBIGNY SUR NERE,18015,"[47.489301,2.441539]",1,3/17/2017,7/13/2022
Aubigny - Place de la resistance,Place de la resistance - 18700 AUBIGNY SUR NERE,18015,"[47.489301,2.441539]",1,3/17/2017,7/13/2022
Avord - Place de la salle des fetes,Place de la salle des fetes - 18520 AVORD,18018,"[47.0357121,2.653584]",1,7/22/2016,7/13/2022
Avord - Place de la salle des fetes,Place de la salle des fetes - 18520 AVORD,18018,"[47.0357121,2.653584]",1,7/22/2016,7/13/2022
