adresse_station,latitude_WGS84,longitude_WGS84,nbre_pdc,date_maj
Mercure Auxerre Nord - Route nationale 6 - Lieu dit Le Chaumois -89380 Appoigny,47.85183,3.542802,8,19 septembre 2017
1 Boulevard du Général de Gaulle - 71000 Sancé,46.346553,4.850173,10,19 septembre 2017
8 Route Nationale - 51510 Matougues ,48.991919,4.245022,4,19 septembre 2017
1097 Avenue Des Landiers - 73000 Chambéry,45.592227,5.899842,4,19 septembre 2017
130 Rue de L’Hôtellerie - 11100 Narbonne,43.167686,2.986016,8,19 septembre 2017
152 rue Claude Nicolas Ledoux - 30900 Nimes,43.815364,4.344721,8,19 septembre 2017
145 rue Pasteur - 38670 Chasse-sur-Rhône,45.58693,4.787807,8,19 septembre 2017
" Rue de Maizières-les-Metz Hauconcourt,  France 57280",49.216414,6.170791,8,19 septembre 2017
"Route de Chosal, 74160 Archamps",46.136916,6.1243,8,19 septembre 2017
"72 Avenue du General de Gaulle, 60300 Senlis",49.20858,2.605978,8,19 septembre 2017
"19 Quai de la Loire, 37210 Rochecorbon",47.407325,0.744827,8,19 septembre 2017
"Rue Cinsault, 84100 Orange ",44.112164,4.851759,8,19 septembre 2017
"132 Cours Genet, 17100 Saintes ",45.750012,-0.661725,8,19 septembre 2017
"8 Allée de la Genelière, 54180 Houdemont",48.638215,6.184349,8,19 septembre 2017
"Avenue de Saint Guillan, 31620 Castelnau-d'Estrétefonds",43.769334,1.361378,8,19 septembre 2017
"Le Griffolet, 19270 Ussac",45.16724,1.483119,8,19 septembre 2017
"ZAC Les Terrasses, Rue des Longues Pièces, 62231 Coquelles ",50.924335,1.803888,6,19 septembre 2017
"ZAC du Moulin aux Moines La Chapelle, 72650 St Aubin",48.041807,0.175331,8,19 septembre 2017
"Eurotunnel France terminal, Boulevard de l'Europe, 62231 Coquelles",50.934207,1.810584,4,19 septembre 2017
"Allée d'Ukraine, 35200 Rennes",48.081796,-1.684341,8,19 septembre 2017
"26 Route départementale 201, 68390 Sausheim",47.781956,7.388082,8,19 septembre 2017
"1 Rue du pont des halles, 94150 Rungis",48.754477,2.351061,6,19 septembre 2017
