adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,gratuit,date_mise_en_service,date_maj
PARKING MEDIATHEQUE CAVALAIRE SUR MER,83240,"43.170946, 6.534893",1,FALSE,07/06/2021,07/06/2021
PARKING MEDIATHEQUE CAVALAIRE SUR MER,83240,"43.170946, 6.534893",1,FALSE,07/06/2021,07/06/2021
PARKING PORT ST TROPEZ,83990,"43.270440, 6.635375",1,FALSE,07/06/2021,07/06/2021
PARKING PORT ST TROPEZ,83990,"43.270440, 6.635375",1,FALSE,07/06/2021,07/06/2021
ZONE COMMERCIAL PUGET SUR ARGENS,83480,"43.443935, 6.706553",1,FALSE,07/06/2021,07/06/2021
ZONE COMMERCIAL PUGET SUR ARGENS,83480,"43.443935, 6.706553",1,FALSE,07/06/2021,07/06/2021
ZONE COMMERCIAL PUGET SUR ARGENS,83480,"43.443935, 6.706553",1,FALSE,07/06/2021,07/06/2021
ZONE COMMERCIAL PUGET SUR ARGENS,83480,"43.443935, 6.706553",1,FALSE,07/06/2021,07/06/2021
PARKING MAIRIE GRIMAUD,83310,"43.274431, 6.522957",1,FALSE,07/06/2021,07/06/2021
PARKING MAIRIE GRIMAUD,83310,"43.274431, 6.522957",1,FALSE,07/06/2021,07/06/2021
PARKING PORT GRIMAUD,83310,"43.274761, 6.577430",1,FALSE,07/06/2021,07/06/2021
PARKING PORT GRIMAUD,83310,"43.274761, 6.577430",1,FALSE,07/06/2021,07/06/2021
PARKING RN7 GRIMAUD,83310,"43.272782, 6.521344",1,FALSE,07/06/2021,07/06/2021
PARKING RN7 GRIMAUD,83310,"43.272782, 6.521344",1,FALSE,07/06/2021,07/06/2021
PARKING SOSPEL,6380,"43.878408, 7.448297",1,FALSE,07/06/2021,07/06/2021
CHEMIN DES CANISSONS CAVALAIRE SUR MER,83240,"43.172029, 6.519044",1,FALSE,07/06/2021,07/06/2021
CHEMIN DES CANISSONS CAVALAIRE SUR MER,83240,"43.172029, 6.519044",1,FALSE,07/06/2021,07/06/2021
PARKING ESPACE DES LICES ST TROPEZ,83990,"43.269507, 6.640612",1,FALSE,07/06/2021,07/06/2021
PARKING ESPACE DES LICES ST TROPEZ,83990,"43.269507, 6.640612",1,FALSE,07/06/2021,07/06/2021
PARKING D943 LOURMARIN,84160,"43.765756, 5.363490",1,FALSE,07/06/2021,07/06/2021
PARKING D943 LOURMARIN,84160,"43.765756, 5.363490",1,FALSE,07/06/2021,07/06/2021
PARKING PORT ST TROPEZ,83990,"43.270440, 6.635375",1,FALSE,07/06/2021,07/06/2021
PARKING PORT ST TROPEZ,83990,"43.270440, 6.635375",1,FALSE,07/06/2021,07/06/2021
PARKING ST ZACHARIE,83640,"43.384124, 5.706148",1,FALSE,07/06/2021,07/06/2021
PARKING ST ZACHARIE,83640,"43.384124, 5.706148",1,FALSE,07/06/2021,07/06/2021
PARKING CLUB 55 RAMATUELLE,83350,"43.227475, 6.661056",1,FALSE,07/06/2021,07/06/2021
PARKING CLUB 55 RAMATUELLE,83350,"43.227475, 6.661056",1,FALSE,07/06/2021,07/06/2021
PARKING AIRE DE ST PONS GRIMAUD,83310,"43.279636, 6.577631",1,FALSE,07/06/2021,07/06/2021
PARKING AIRE DE ST PONS GRIMAUD,83310,"43.279636, 6.577631",1,FALSE,07/06/2021,07/06/2021
PARKING AIRE DE ST PONS GRIMAUD,83310,"43.279636, 6.577631",1,FALSE,07/06/2021,07/06/2021
RUE VAUBAN VERSAILLES,78000,"48.799674, 2.153577",1,FALSE,07/06/2021,07/06/2021
RUE VAUBAN VERSAILLES,78000,"48.799674, 2.153577",1,FALSE,07/06/2021,07/06/2021
RUE BONNE AVENTURE VERSAILLES,78000,"48.806742, 2.151875",1,FALSE,07/06/2021,07/06/2021
RUE BONNE AVENTURE VERSAILLES,78000,"48.806742, 2.151875",1,FALSE,07/06/2021,07/06/2021
RUE DES CHANTIERS VERSAILLES,78000,"48.796610, 2.136693",1,FALSE,07/06/2021,07/06/2021
RUE DES CHANTIERS VERSAILLES,78000,"48.796610, 2.136693",1,FALSE,07/06/2021,07/06/2021
PARKING GARE LA CROIX VALMER,83420,"43.207298, 6.568722",1,FALSE,07/06/2021,07/06/2021
PARKING GARE LA CROIX VALMER,83420,"43.207298, 6.568722",1,FALSE,07/06/2021,07/06/2021
PLACE DU MARCHE SAUVETERRE,30150,"44.024338, 4.793617",1,FALSE,07/06/2021,07/06/2021
PLACE DU MARCHE SAUVETERRE,30150,"44.024338, 4.793617",1,FALSE,07/06/2021,07/06/2021
PARKING PLAGE DU GIGARO,42000,"43.184096, 6.599485",1,FALSE,07/06/2021,07/06/2021
PARKING PLAGE DU GIGARO,42000,"43.184096, 6.599485",1,FALSE,07/06/2021,07/06/2021
PARKING BOSQUET STE MAXIME,83120,"43.329318, 6.616837",1,FALSE,07/06/2021,07/06/2021
PARKING BOSQUET STE MAXIME,83120,"43.329318, 6.616837",1,FALSE,07/06/2021,07/06/2021
PARKING PASTORELLI,83120,"43.314926, 6.634200",1,FALSE,07/06/2021,07/06/2021
PARKING PASTORELLI,83120,"43.314926, 6.634200",1,FALSE,07/06/2021,07/06/2021
PARKING GAUMONT STE MAXIME,83120,"43.325788, 6.624927",1,FALSE,07/06/2021,07/06/2021
PARKING GAUMONT STE MAXIME,83120,"43.325788, 6.624927",1,FALSE,07/06/2021,07/06/2021
PLACE MERMOZ STE MAXIME,83120,"43.310428, 6.634794",1,FALSE,07/06/2021,07/06/2021
PLACE MERMOZ STE MAXIME,83120,"43.310428, 6.634794",1,FALSE,07/06/2021,07/06/2021
PARKING JAURES PLAN DE LA TOUR,83120,"43.337839, 6.546778",1,FALSE,07/06/2021,07/06/2021
PARKING JAURES PLAN DE LA TOUR,83120,"43.337839, 6.546778",1,FALSE,07/06/2021,07/06/2021
PARKING TRIDENT GASSIN,83580,"43.262611, 6.586437",1,FALSE,07/06/2021,07/06/2021
PARKING TRIDENT GASSIN,83580,"43.262611, 6.586437",1,FALSE,07/06/2021,07/06/2021
PARKING LAUTIER SIVERGUES,84400,"43.828870, 5.403812",1,FALSE,07/06/2021,07/06/2021
PLACE AVENUE GENERAL DE GAULLE,83310,"43.251851, 6.533698",1,FALSE,07/06/2021,07/06/2021
PLACE VICTOR HUGO,83310,"43.250675, 6.534659",1,FALSE,07/06/2021,07/06/2021
PLACE AVENUE GENERAL DE GAULLE,83310,"43.251851, 6.533698",1,FALSE,07/06/2021,07/06/2021
PLACE VICTOR HUGO,83310,"43.250675, 6.534659",1,FALSE,07/06/2021,07/06/2021
PLACE DU 8 MAI 1945 JOINVILLE,94340,"48.816785, 2.466818",1,FALSE,07/06/2021,07/06/2021
PLACE DU 8 MAI 1945 JOINVILLE,94340,"48.816785, 2.466818",1,FALSE,07/06/2021,07/06/2021
PLACE DU 8 MAI 1945 JOINVILLE,94340,"48.816785, 2.466818",1,FALSE,07/06/2021,07/06/2021
PLACE DU 8 MAI 1945 JOINVILLE,94340,"48.816785, 2.466818",1,FALSE,07/06/2021,07/06/2021
PLACE DU 8 MAI 1945 JOINVILLE,94340,"48.816785, 2.466818",1,FALSE,07/06/2021,07/06/2021
PLACE DU 8 MAI 1945 JOINVILLE,94340,"48.816785, 2.466818",1,FALSE,07/06/2021,07/06/2021
AVENUE DU GENERAL DE GAULE VERSAILLES,78000,"48.800833, 2.129056",1,FALSE,07/06/2021,07/06/2021
AVENUE DU GENERAL DE GAULE VERSAILLES,78000,"48.800833, 2.129056",1,FALSE,07/06/2021,07/06/2021
540 AVENUE DE LA 2 EME DIVISION BLINDEE,30133,"43.958037, 4.764347",1,FALSE,07/06/2021,07/06/2021
540 AVENUE DE LA 2 EME DIVISION BLINDEE,30133,"43.958037, 4.764347",1,FALSE,07/06/2021,07/06/2021
149 AVENUE DE LA 2 EME DIVISION BLINDEE,30133,"43.958425, 4.768425",1,FALSE,07/06/2021,07/06/2021
149 AVENUE DE LA 2 EME DIVISION BLINDEE,30133,"43.958425, 4.768425",1,FALSE,07/06/2021,07/06/2021
AVENUE CHARLES DE GAULLE,30133,"43.962289, 4.752516",1,FALSE,07/06/2021,07/06/2021
AVENUE CHARLES DE GAULLE,30133,"43.962289, 4.752516",1,FALSE,07/06/2021,07/06/2021
27 boulevard Gallieni,92130,"48.827423, 2.267650",1,FALSE,07/06/2021,07/06/2021
27 boulevard Gallieni,92130,"48.827423, 2.267650",1,FALSE,07/06/2021,07/06/2021
27 boulevard Gallieni,92130,"48.827423, 2.267650",1,FALSE,07/06/2021,07/06/2021
27 boulevard Gallieni,92130,"48.827423, 2.267650",1,FALSE,07/06/2021,07/06/2021
27 boulevard Gallieni,92130,"48.827423, 2.267650",1,FALSE,07/06/2021,07/06/2021
27 boulevard Gallieni,92130,"48.827423, 2.267650",1,FALSE,07/06/2021,07/06/2021
21 BOULEVARD DES �LES,92130,"48.822635, 2.249932",1,FALSE,07/06/2021,07/06/2021
21 BOULEVARD DES �LES,92130,"48.822635, 2.249932",1,FALSE,07/06/2021,07/06/2021
21 BOULEVARD DES �LES,92130,"48.822635, 2.249932",1,FALSE,07/06/2021,07/06/2021
21 BOULEVARD DES �LES,92130,"48.822635, 2.249932",1,FALSE,07/06/2021,07/06/2021
21 BOULEVARD DES �LES,92130,"48.822635, 2.249932",1,FALSE,07/06/2021,07/06/2021
21 BOULEVARD DES �LES,92130,"48.822635, 2.249932",1,FALSE,07/06/2021,07/06/2021
BOULEVARD DU GENERAL DE GAULLE,92380,"48.838587, 2.186960",1,FALSE,07/06/2021,07/06/2021
BOULEVARD DU GENERAL DE GAULLE,92380,"48.838587, 2.186960",1,FALSE,07/06/2021,07/06/2021
BOULEVARD DU GENERAL DE GAULLE,92380,"48.838587, 2.186960",1,FALSE,07/06/2021,07/06/2021
BOULEVARD DU GENERAL DE GAULLE,92380,"48.838587, 2.186960",1,FALSE,07/06/2021,07/06/2021
BOULEVARD DU GENERAL DE GAULLE,92380,"48.838587, 2.186960",1,FALSE,07/06/2021,07/06/2021
