adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,date_mise_en_service,date_maj
Impasse de Provence 84420 Piolenc,84091,"[4.76131, 44.1734]",2,31/01/2017,02/02/2022
Impasse de Provence 84420 Piolenc,84091,"[4.76131, 44.1734]",2,31/01/2017,02/02/2022
Avenue de l'Europe 69140 Rillieux-la-Pape,69286,"[4.90853, 45.8192]",2,07/02/2017,02/02/2022
Avenue de l'Europe 69140 Rillieux-la-Pape,69286,"[4.90853, 45.8192]",2,07/02/2017,01/02/2022
1130 Promenade Léon Perrier 84500 Bollène,84019,"[4.74008, 44.304]",2,22/03/2017,02/02/2022
1130 Promenade Léon Perrier 84500 Bollène,84019,"[4.74008, 44.304]",2,22/03/2017,30/09/2021
1-9 avenue Jean Monnet 13200 Arles,13004,"[4.61806, 43.6741]",2,07/04/2017,01/02/2022
1-9 avenue Jean Monnet 13200 Arles,13004,"[4.61806, 43.6741]",2,03/03/2017,11/01/2022
22 avenue Daniel Rops 73100 Aix-les-Bains,73008,"[5.89539, 45.691]",2,07/04/2017,01/02/2022
22 avenue Daniel Rops 73100 Aix-les-Bains,73008,"[5.89539, 45.691]",2,07/04/2017,02/02/2022
5 promenade Roche de France 07300 Tournon-sur-Rhône,7324,"[4.82856, 45.0705]",2,07/04/2017,02/02/2022
5 promenade Roche de France 07300 Tournon-sur-Rhône,7324,"[4.82856, 45.0705]",2,07/04/2017,02/02/2022
Rue Ravat 69002 Lyon,69382,"[4.82282, 45.7446]",3,23/02/2017,02/02/2022
Rue Ravat 69002 Lyon,69382,"[4.82282, 45.7446]",3,23/02/2017,02/02/2022
Rue Ravat 69002 Lyon,69382,"[4.82282, 45.7446]",3,23/02/2017,31/01/2022
Avenue du Rhône Lieu-dit le Bugnon 42520 Saint-Pierre de Bœuf,42272,"[4.75584, 45.3806]",2,07/04/2017,31/01/2022
Avenue du Rhône Lieu-dit le Bugnon 42520 Saint-Pierre de Bœuf,42272,"[4.75584, 45.3806]",2,07/04/2017,02/02/2022
123 La Croix des Mailles 26240 Laveyron,26160,"[4.81432, 45.2037]",2,07/04/2017,02/02/2022
123 La Croix des Mailles 26240 Laveyron,26160,"[4.81432, 45.2037]",2,07/04/2017,31/01/2022
"Les Freydières, centre commercial Route de V 07130 Soyons",7316,"[4.86084, 44.9194]",2,07/04/2017,02/02/2022
"Les Freydières, centre commercial Route de V 07130 Soyons",7316,"[4.86084, 44.9194]",2,07/04/2017,02/02/2022
2 avenue Anatole France 13230 Port-Saint-Louis-du-Rhône,13078,"[4.80892, 43.3837]",2,07/04/2017,02/02/2022
2 avenue Anatole France 13230 Port-Saint-Louis-du-Rhône,13078,"[4.8089, 43.3837]",2,07/04/2017,01/02/2022
5 avenue Charles de Gaulle 30400 Villeneuve-lès-Avignon,30351,"[4.80039, 43.9633]",2,07/04/2017,01/02/2022
5 avenue Charles de Gaulle 30400 Villeneuve-lès-Avignon,30351,"[4.80039, 43.9633]",2,07/04/2017,09/01/2022
76 avenue Tony Garnier 69007 Lyon,69387,"[4.83787, 45.7261]",3,04/10/2021,26/01/2022
76 avenue Tony Garnier 69007 Lyon,69387,"[4.83787, 45.7261]",3,04/10/2021,02/02/2022
76 avenue Tony Garnier 69007 Lyon,69387,"[4.83787, 45.7261]",3,11/02/2020,02/02/2022
Quai René Révollat 07250 Le Pouzin,7181,"[4.75021, 44.7563]",2,07/04/2017,30/01/2022
Quai René Révollat 07250 Le Pouzin,7181,"[4.75021, 44.7563]",2,07/04/2017,02/02/2022
Route des Envignes 74160 Neydens,74201,"[6.09447, 46.1242]",2,30/05/2017,02/02/2022
Route des Envignes 74160 Neydens,74201,"[6.09447, 46.1242]",2,30/05/2017,02/02/2022
"Place Jules Mouton, 4 rue des Tuileries 69700 Givors",69091,"[4.77022, 45.5903]",2,07/04/2017,02/02/2022
"Place Jules Mouton, 4 rue des Tuileries 69700 Givors",69091,"[4.77022, 45.5903]",2,07/04/2017,04/01/2022
91 route de la Roche de Glun 26500 Bourg-lès-Valence,26058,"[4.87755, 44.9607]",2,04/07/2017,05/09/2021
91 route de la Roche de Glun 26500 Bourg-lès-Valence,26058,"[4.87755, 44.9607]",2,07/04/2017,02/02/2022
1 rue des Thermes 69560 Saint-Romain-en-Gal,69235,"[4.86782, 45.5292]",2,07/04/2017,01/02/2022
1 rue des Thermes 69560 Saint-Romain-en-Gal,69235,"[4.86782, 45.5292]",2,07/04/2017,01/02/2022
